date,AMG,AFL,ALL,AXP,AIG,AMP,AON,AJG,AIZ,BAC,BK,BBT,BRK-B,BLK,BHF,COF,CBOE,SCHW,CB,CINF,C,CFG,CME,CMA,DFS,ETFC,RE,FITB,FRC,BEN,GS,HIG,HBAN,ICE,IVZ,JEF,JPM,KEY,LNC,L,MTB,MMC,MET,MCO,MS,MSCI,NDAQ,NTRS,PBCT,PNC,PFG,PGR,PRU,RJF,RF,SPGI,STT,STI,SIVB,SYF,TROW,TMK,TRV,USB,UNM,WFC,WLTW,ZION
1997-12-31,19.03273118,4.432586435,27.4606821,19.84552786,550.5659724,,28.64467465,8.342955977999999,,16.687221599999997,18.468423899999998,15.836744,30.78,,,14.6100546,,7.364787975,19.48155617,23.04309828,175.59345269999997,,,33.62725926,,57.16019052,30.321765999999997,21.91084808,,9.639052227999999,,30.62409703,18.56488525,,10.28366927,5.57482233,19.3161151,17.95680961,24.37159479,14.5923823,28.89640803,14.63461558,,6.576214384,17.48332846,,,24.06728828,3.277081299,30.82913087,,25.49794737,,8.822794049,18.32567114,,21.96033716,43.7386779,14.0625,,9.986980555,13.06632569,23.50616252,14.68393021,36.20997919,11.03067104,,33.73418772
1998-12-31,19.61027612,7.666364444,23.65480646,22.95688707,735.3208722999999,,27.05683238,11.03600063,,16.89992238,26.20311317,20.34535744,47.0,,,31.11594415,,14.86200171,16.67897345,18.26728456,163.5941486,,,38.78964581,,116.2588571,28.77623633,29.02333107,,7.131251536000001,,36.52634798,15.91356735,,9.306014021000001,5.090055171,25.64986122,16.70280421,26.16530183,13.6587788,32.50288945,17.68733945,,6.963320805,21.25735133,,,30.483673100000004,2.4460983780000003,30.14442092,,36.11563476,,7.114190015,17.93439521,,26.67711309,47.55671812,8.515,,10.93429907,12.85035528,20.58340776,14.44942194,39.32438049,11.58934046,,46.88299023
1999-12-31,26.54081548,8.292810749,15.043924800000003,37.51837344,1030.3181960000002,,29.31401124,16.69228527,,14.53372295,26.476878399999997,14.00109992,36.6,12.17332298,,39.20785876,,20.26307346,14.50491112,15.84786826,278.2375568,,,27.27608449,,259.6563785,16.62384392,30.23064139,,7.1944454129999995,77.13166971,32.1052709,12.99111632,,13.85537298,6.340133594,28.63933589,11.95123018,26.21522376,8.551664025,26.18933677,29.66650295,,6.695281414,43.17388054,,,37.36050837,1.9437199490000001,25.61390563,,15.62965188,,6.3657425629999995,11.52761241,,28.01587477,43.66815013,24.75,,12.01213286,10.69472863,20.58038847,10.17254153,21.89915229,11.96714979,,44.9966529
2000-12-31,36.017803,12.76638125,27.92713797,37.36719468,1411.639445,,25.23337567,16.74553952,,13.87413161,37.10199493,19.84631358,47.08,29.74284847,,53.6619769,,22.58062608,22.53841191,20.53512254,343.5697577,,,35.89068293,,73.36386191,53.50510869,37.45838204,,8.608928631,87.98271741,48.76151639,9.217604202999999,,26.91932898,9.796045061000001,26.33943184,16.00381735,31.96847884,14.83035954,43.56710376,36.9420917,19.37860226,10.62778471,48.42264571,,,57.93891065,2.5257773180000003,43.62443704,,22.22265206,,12.06590346,13.12107099,,47.91816402,41.11812114,34.56,,13.92522025,14.34309868,34.07730585,13.28759461,18.85497052,16.83798426,,48.32551535
2001-12-31,46.25609977,8.745899162,22.04581709,24.47685716,1139.408723,,26.82816265,18.47139806,,19.79669814,28.19352828,19.75148209,50.5,29.53039955,,44.07251641,,12.33926478,18.44031583,20.24351772,343.7044308,,,35.72998429,,101.8942527,53.03170255,38.99719719,,8.025151209,76.73903237,44.06324815,10.15203682,,18.14724697,8.052827899,22.05826006,14.58757352,33.7237287,16.13177824,47.32728781,34.63206987,17.66975742,16.58267591,34.72928629,,,43.22186433,2.196074474,34.58408813,16.43616849,32.09856817,22.4295622,12.46895099,14.8472688,21.47518106,40.66493022,41.94538099,26.73,,11.65543299,14.81493037,28.30190193,12.47252045,18.99743569,13.42811838,,41.29611499
2002-12-31,33.01194408,10.81083578,24.91776512,24.5177286,832.4429897000001,,14.715252599999998,16.05604998,,22.67322954,16.94391398,20.87681901,48.46,27.90162452,,24.34843783,,8.692613043,14.41151022,20.36930055,261.0098873,,5.502140865,27.92035585,,48.31278711,41.69943536,37.81252568,,7.8168230439999995,56.71565299,32.46123092,11.42114583,,8.022602634,10.4731334,15.28402719,15.76934758,22.65542024,13.10317769,52.21214888,30.45132834,15.20069506,17.24759568,25.29269277,,8.861839003,25.53663172,2.7581222889999997,26.82046931,20.81697312,32.06711014,21.73738451,10.50412195,17.05228355,21.62857195,30.6910936,39.11825157,18.25,,9.348937222,13.89324787,22.63031626,13.1209286,12.89507771,14.80563772,,31.411746100000002
2003-12-31,45.67199182,13.10522381,29.74727974,33.75066495,957.5319743999999,,19.1789151,18.21471319,,27.23833541,24.07530804,22.57738831,56.3,37.92061725,,50.33688541,,9.532185209,19.52357577,23.24149971,369.5370581,,9.215491254,37.79151941,,125.75241909999998,64.13255034,38.93454407,,12.02932574,82.97457622,43.17577733,14.19244293,,9.68104164,13.01700003,24.49883656,19.26307435,30.10205619,14.77621238,65.59392477,32.53885975,19.06790415,25.38376939,37.41245673,,8.374437858,34.33392017,3.763103408,36.528689899999996,23.17883582,54.09058441,28.99308202,13.53430056,19.71522472,25.47600332,41.54440699,50.60350012,36.07,,16.55284067,17.49209547,27.20509842,19.07130457,11.8868137,19.16671995,,49.92782442
2004-12-31,66.68675224,14.57243032,36.62472637,39.68912826,952.4981732000001,,19.5948602,18.79472262,23.75196551,33.09568063,24.92305444,25.48079743,58.72,55.97969499,,69.26609169,,9.701092402999999,22.79922528,25.28604686,379.59990330000005,,29.355023,42.65585085,,148.61649530000003,68.23386433,32.20678331,,16.19337369,88.36177571,51.59087772,16.11553738,,8.443153295,19.7249954,26.94042795,23.14457343,35.88385092,21.21759451,73.16741434,22.8414495,23.21734046,36.56693920000001,36.57212886,,9.039075783,36.65758898,7.002815397000001,39.7881342,29.10232424,54.97014412,38.65006297,16.86678002,24.31768223,33.86803055,39.71144902,53.82072401,44.82,,22.04156715,22.13544671,26.34921782,21.07209656,13.79893769,20.88636159,,56.55884402
2005-12-31,79.00224191,17.15540978,39.16284316,41.72447497,998.5055605,31.18699076,30.2416331,18.56433272,34.09591817,33.88746853,24.451590200000002,26.347377899999998,58.71,79.70992099,,71.1662748,,11.98649377,29.83895606,26.27816252,397.17042089999995,,47.50592279,41.21893045,,207.36723030000002,76.81461339,26.64724966,,22.62813913,109.4678039,64.90872219,16.02921376,6.767932544,10.60539942,20.31969068,28.48732093,23.38172666,42.03657897,28.83839964,75.23678854,22.56668532,28.37577325,51.94262471,38.13641872,,31.17594961,39.80562734,8.640533561,44.42795876,34.15564908,75.75618647,51.998649900000004,20.73805274,24.32475114,38.73832539,45.48109481,54.62953134,46.84,,25.91343191,21.71704929,32.46353507,20.97494274,17.79349718,21.82075699,,64.10114913
2006-12-31,103.495398,17.20616842,48.31983734,49.69017078,1058.8914,41.85449924,30.2193532,18.55637947,43.64712776,40.89636769,31.01676061,28.6979637,73.32,112.98552350000001,,63.35880329,,15.926990700000001,37.66553121,27.43212351,474.8207038,,66.25908618,44.42613588,,222.8750385,75.5709392,30.11028812,,26.65455911,172.3179601,71.93504717,16.71160811,20.08968147,17.29622793,24.36649561,35.77971928,28.03780746,54.05068379,38.07822366,85.90761587,22.305857500000002,34.52563464,58.66633904,55.65417212,,27.28560229,47.41357375,12.76313446,54.91302298,42.84995357,15.73214208,61.72033881,25.31723235,27.95384572,51.52010484,56.04257101,65.45140621,46.62,,31.88369809,25.10548598,39.89842911,26.48929057,16.50338605,25.49079286,,71.22894559
