ETFC,,,,327.0,327.0,327.0,327.0,327.0,327.0,3500.0,3500.0,3500.0,3400.0,4100.0,3800.0,3400.0,3100.0,3000.0,3200.0,3000.0,3000.0,3200.0,3400.0,3600.0,3600.0,3600.0
FITB,5294.0,6045.0,6432.0,6970.0,7180.0,8761.0,12240.0,12246.0,19118.0,20569.0,20211.0,21027.0,22901.0,21362.0,22678.0,22423.0,21901.0,21613.0,21613.0,21613.0,21613.0,21613.0,18261.0,17844.0,17844.0,17844.0
GS,,,,,,,15361.0,22627.0,22677.0,19739.0,19476.0,20722.0,22425.0,26467.0,30522.0,30067.0,32500.0,35700.0,33300.0,32400.0,32900.0,34000.0,36800.0,34400.0,36600.0,36600.0
HBAN,,8152.0,7551.0,7936.0,9485.0,10159.0,9516.0,9693.0,9743.0,8177.0,7983.0,7812.0,7602.0,8081.0,11925.0,10951.0,10272.0,10272.0,11245.0,11806.0,11964.0,11873.0,12243.0,15993.0,15770.0,15770.0
HIG,,,,22000.0,22000.0,25000.0,25000.0,26600.0,27400.0,29000.0,30000.0,30000.0,30000.0,31000.0,31000.0,31000.0,28000.0,26800.0,24400.0,22500.0,18800.0,17500.0,17400.0,16900.0,16400.0,16400.0
ICE,,,,,,,,,,,,,,,,,,,,,353.0,340.0,5549.0,5631.0,4952.0,4952.0
IVZ,,,,,,,,,,,,,,,5475.0,5325.0,4890.0,5617.0,6162.0,6128.0,5932.0,6264.0,6000.0,6700.0,7000.0,7000.0
JEF,4372.0,4374.0,4271.0,3919.0,1378.0,1391.0,1585.0,1383.0,1383.0,785.0,5269.0,5324.0,3969.0,1323.0,4057.0,3584.0,3340.0,2414.0,11711.0,10943.0,3797.0,3915.0,3550.0,3329.0,3450.0,4700.0
JPM,,,,,,3650.0,2118.0,2118.0,3945.0,3100.0,2800.0,2800.0,3100.0,3100.0,3100.0,3100.0,3100.0,3100.0,1274.0,1274.0,3500.0,3500.0,3500.0,3500.0,3500.0,3500.0
KEY,12038.0,12038.0,12038.0,28905.0,26963.0,25862.0,24568.0,22142.0,21230.0,20437.0,20034.0,19576.0,19485.0,20006.0,18934.0,18095.0,16698.0,15610.0,15381.0,15589.0,14783.0,13853.0,13483.0,15700.0,18415.0,18415.0
L,27100.0,25400.0,34700.0,35300.0,35900.0,34300.0,30900.0,29700.0,27820.0,25800.0,22700.0,22000.0,21600.0,21600.0,21700.0,19100.0,18500.0,18400.0,18250.0,18300.0,18175.0,17510.0,16700.0,15800.0,18100.0,18100.0
LNC,11890.0,8995.0,10250.0,10320.0,8120.0,8015.0,7960.0,7820.0,6780.0,5830.0,5644.0,5441.0,5259.0,10744.0,10870.0,9696.0,8208.0,8270.0,8564.0,8700.0,9115.0,9627.0,9312.0,9057.0,9047.0,9047.0
MCO,,,,,,1300.0,1400.0,1500.0,1700.0,2100.0,2300.0,2500.0,2900.0,3400.0,3600.0,3900.0,4000.0,4500.0,6100.0,6800.0,8400.0,9900.0,10400.0,10600.0,12000.0,12000.0
MET,,,,,,,,46700.0,46700.0,46700.0,49000.0,54000.0,65500.0,47000.0,49000.0,57700.0,54000.0,66000.0,67000.0,67000.0,65000.0,68000.0,69000.0,58000.0,49000.0,49000.0
MMC,,26000.0,27000.0,27000.0,36000.0,54300.0,52900.0,57000.0,57800.0,59500.0,60500.0,60000.0,55000.0,55000.0,56000.0,54000.0,52000.0,51000.0,52000.0,54000.0,55000.0,57000.0,60000.0,60000.0,60000.0,60000.0
MS,,,,33084.0,47277.0,45712.0,55288.0,62679.0,61319.0,55726.0,51196.0,53284.0,53218.0,55310.0,48256.0,46964.0,61388.0,62542.0,61899.0,57061.0,55794.0,55802.0,56218.0,55311.0,57633.0,57633.0
MSCI,,,,,,,,,,,,,,,637.0,766.0,878.0,1100.0,2429.0,2759.0,3261.0,2926.0,2926.0,2754.0,3038.0,3038.0
MTB,3655.0,3792.0,4148.0,4407.0,4359.0,5485.0,5604.0,7616.0,8139.0,8044.0,12426.0,11785.0,11952.0,11904.0,12422.0,12167.0,12802.0,12031.0,14235.0,13640.0,14629.0,14609.0,16331.0,16000.0,15913.0,15913.0
NDAQ,,,,,,,,,,1276.0,1290.0,931.0,784.0,917.0,898.0,2507.0,2216.0,2395.0,2433.0,2506.0,3365.0,3687.0,3824.0,4325.0,4734.0,4734.0
NTRS,6259.0,6608.0,6531.0,6933.0,7553.0,8156.0,8583.0,9466.0,9453.0,9317.0,8056.0,8022.0,9008.0,9726.0,10918.0,12200.0,12400.0,12800.0,14100.0,14200.0,14800.0,15400.0,16200.0,17100.0,18100.0,18100.0
PBCT,,,,,,,,,,,,,,2359.0,2416.0,4079.0,3898.0,4528.0,4788.0,4847.0,4842.0,4856.0,4652.0,4749.0,5188.0,5188.0
