date,AMG,AFL,ALL,AXP,AIG,AMP,AON,AJG,AIZ,BAC,BK,BBT,BRK-B,BLK,BHF,COF,CBOE,SCHW,CB,CINF,C,CFG,CME,CMA,DFS,ETFC,RE,FITB,FRC,BEN,GS,HIG,HBAN,ICE,IVZ,JEF,JPM,KEY,LNC,L,MTB,MMC,MET,MCO,MS,MSCI,NDAQ,NTRS,PBCT,PNC,PFG,PGR,PRU,RJF,RF,SPGI,STT,STI,SIVB,SYF,TROW,TMK,TRV,USB,UNM,WFC,WLTW,ZION
11/21/1997,17.39197849,3.966180899,26.00290151,17.47922152,535.0063831,,25.64975984,8.477666211,,16.96175459,16.63148501,13.45851301,29.86,,,12.60417148,,6.881879846,18.08026481,16.76373671,164.3825864,,,31.35576628,,59.71997296,28.96075045,18.74543632,,10.29874622,,27.83352514,17.5666683,,8.591782114,5.524799979,19.98821007,16.50743478,22.28473994,14.99123158,26.0474737,14.63461558,,6.081230506,16.00469784,,,21.71660213,2.889005882,28.42517335,,22.76353765,,7.859648535,16.75122549,,22.76227316,42.89522166,12.6575,,10.45208175,12.65305936,23.21189002,13.92870078,32.92058424,10.21368972,,29.65642877
11/24/1997,17.06382795,3.94450778,25.54602018,17.27295739,515.7906529,,25.34684839,8.494472686,,16.67264927,16.1331155,13.33490433,29.76,,,12.33456353,,6.760713806,17.91798291,16.51912966,161.319152,,,30.59189591,,59.94364327,28.2264515,18.44339236,,9.959884244,,27.52730424,17.31022059,,8.495205046,5.414111478,19.40431654,16.45955061,22.18803964,14.79868365,25.58599538,14.36571237,,5.939806541,15.74741611,,,21.65124248,2.872620475,27.64551146,,22.18966696,,7.651181559,16.42700823,,21.91490198,42.51664461,12.2825,,10.47266919,12.40308429,22.75050031,14.0019409,32.00168444,9.963186742,,29.28572341
11/25/1997,17.06382795,3.966180899,25.33665144,17.23081741,507.6998191,,25.40547641,8.463260661,,16.82538416,16.61231695,13.37940345,29.78,,,12.19975956,,6.672912328,18.03132265,16.63327962,160.9280752,,,31.26306357,,59.57085942,28.0869347,18.64386402,,9.911158993,,27.30252507,17.40767072,,8.465397309,5.434965833,19.30553093,16.6964512,22.20675583,14.55112203,25.77207535,14.52469894,,6.010518523,15.9692107,,,21.67188237,2.877794814,28.36020153,,21.67955967,,7.817511593,16.85929792,,22.7396766,43.0112372,12.8125,,10.35389553,12.36296483,23.03530877,13.8960043,31.75531275,10.35602096,,29.47107609
11/26/1997,16.03999828,3.92283466,25.75538891,17.32840474,511.2395589,,25.77190155,8.523283786,,16.3999084,16.97331537,13.53515039,29.7,,,12.30221058,,6.750177629,18.14466239,16.38867256,160.5044088,,,31.61162578,,59.49630265,27.67572729,18.67861244,,9.85578939,,27.45563552,17.31022059,,8.525012783,5.423736565,19.09561151,17.05936275,22.16620409,14.71616311,26.54678827,14.59928523,,5.973748292,16.04314223,,,21.41388377,2.889005882,28.99909114,,22.06214014,,8.039284972,17.023568,,22.78486973,43.50582979,12.9075,,10.32380621,12.49875376,22.78467732,14.01796218,31.83521708,10.42433996,,29.70091341
11/28/1997,16.40752688,3.999124041,26.05882187,17.49474678,509.7225276,,25.83541524,8.583306912,,16.38081654,17.17138531,13.47334605,30.16,,,12.21593604,,6.771249984,18.27345756,16.55174393,165.8165344,,,31.58937713,,62.27975541,27.88867399,18.84433567,,9.953239892,,27.41308386,17.43844444,,8.525012783,5.544050154,19.18381294,17.10220647,22.30345613,14.5923823,26.22426707,14.61106201,,5.939806541,16.0608858,,,21.41388377,2.905391288,29.13444911,,21.67955967,,7.91509188,16.69935073,,22.40826031,43.50582979,13.1725,,10.29371688,12.65305936,22.78467732,14.05986156,31.5888454,10.65776319,,29.75281216
12/1/1997,16.65692129,4.161238976,27.19669543,18.33976434,537.5347686,,26.35329611,8.643330037,,16.74083449,17.79115252,13.95294773,30.4,,,12.55294597,,7.078555157,18.48210572,16.79635098,176.1800678,,,32.44595021,,66.00759392,28.30031493,19.49653679,,10.56230553,,27.78295592,18.2385613,,8.763474679,5.635488481,20.28633093,17.78436743,23.02402933,15.01873843,26.84942377,15.07624494,,6.151942489,16.59615009,,,22.38051852,3.03474976,30.79664496,,22.4447206,,8.1790022,17.50773245,,23.37238042,45.92009697,13.4375,,10.71971839,12.65305936,23.49669849,14.50111443,32.66755386,11.01359129,,30.58319217
12/2/1997,16.20407354,4.161238976,27.30896563,18.39521169,535.5120602,,26.38261012,8.643330037,,16.82538416,17.74962172,13.85900513,30.56,,,12.79020096,,7.14528428,18.73969604,16.7148153,178.8524255,,,32.07513935,,58.55191689,28.66785149,19.71304618,,10.54790943,,28.12991555,18.20778758,,8.89820565,5.494320537,20.10992805,17.91116315,23.00531314,14.99123158,26.90783802,15.1017613,,6.151942489,16.61685091,,,22.48715794,3.039924099,30.82913087,,23.33740835,,7.983841627,17.50773245,,23.16147915,45.61371788,13.6875,,10.65003785,12.78884829,23.42549637,14.55086995,32.66755386,10.90541955,,32.20688164
12/3/1997,15.91530107,4.161238976,27.09959689,18.85209782,536.3969951,,26.3239821,8.614518937,,16.98084645,17.71128561,16.06912832,30.38,,,12.95735789,,7.310351059,19.19047911,16.78004385,184.1319613,,,32.21604748,,52.81104559,29.07949243,20.18081338,,10.60327903,,28.12991555,18.78735941,,8.85289789,5.534425066,20.24223021,17.95680961,23.78515426,15.04624527,26.86123091,15.28626423,,5.973748292,16.91257704,,,22.7898763,2.975244863,31.20271886,,22.61475636,,8.316501695,17.61580487,,23.44393621,44.88453567,13.72,,10.57085541,12.78884829,23.513787,14.68966165,32.62760169,10.81717418,,31.97704432
12/4/1997,15.7512258,4.264403026,27.27255367,19.06057984,541.9633791,,26.53406584,8.643330037,,16.73936059,17.79115252,15.63649794,30.6,,,12.99240692,,7.408688714,19.38367185,17.08987945,182.6980133,,,32.37549615,,51.09623987,30.23355723,20.41603346,,10.65864864,,28.6601746,19.04380712,,8.89820565,5.51503438,20.59503597,18.29155031,23.78515426,14.79868365,26.72140958,15.40795766,,5.869094558,17.09592724,,,23.60515187,3.104603335,30.99697475,,23.25239047,,8.123558856,17.56393011,,23.21043837,45.00095972,13.5325,,10.55185163,12.65305936,23.40840786,14.55086995,33.16695593,10.58659757,,32.34774968
12/5/1997,15.7512258,4.410913315,28.04934203,19.29567659,543.9875187,,26.84186296,8.554495811,,16.73936059,18.09145209,15.63649794,30.8,,,13.04363243,,7.398152537,19.57686459,17.44863646,182.502475,,,32.53865293,,50.47493345,29.77046116,20.81697677,,10.90781185,,28.72236548,19.55670255,,8.793282416,5.534425066,20.67265323,18.48174388,23.55120192,14.96372473,26.90783802,15.40795766,,6.081230506,17.26449113,,,24.0798693,3.136511759,31.46802048,,22.97608236,,8.108034719,18.37231183,,23.04473023,45.3073388,13.8125,,10.68962907,12.78884829,23.85270907,14.77869784,33.79287318,10.5325117,,31.88066093
