,desc,docurl,filedate,path,ticker,filename
0,0001558370-18-000535,/Archives/edgar/data/66740/000155837018000535/0001558370-18-000535-index.htm,2/8/2018,https://www.sec.gov/Archives/edgar/data/66740/000155837018000535/0001558370-18-000535.txt,MMM,MMM_2018-02-08_0001558370-18-000535.txt
1,0001558370-17-000479,/Archives/edgar/data/66740/000155837017000479/0001558370-17-000479-index.htm,2/9/2017,https://www.sec.gov/Archives/edgar/data/66740/000155837017000479/0001558370-17-000479.txt,MMM,MMM_2017-02-09_0001558370-17-000479.txt
2,0001558370-16-003162,/Archives/edgar/data/66740/000155837016003162/0001558370-16-003162-index.htm,2/11/2016,https://www.sec.gov/Archives/edgar/data/66740/000155837016003162/0001558370-16-003162.txt,MMM,MMM_2016-02-11_0001558370-16-003162.txt
3,0001104659-15-009560,/Archives/edgar/data/66740/000110465915009560/0001104659-15-009560-index.htm,2/12/2015,https://www.sec.gov/Archives/edgar/data/66740/000110465915009560/0001104659-15-009560.txt,MMM,MMM_2015-02-12_0001104659-15-009560.txt
4,0001104659-14-009773,/Archives/edgar/data/66740/000110465914009773/0001104659-14-009773-index.htm,2/13/2014,https://www.sec.gov/Archives/edgar/data/66740/000110465914009773/0001104659-14-009773.txt,MMM,MMM_2014-02-13_0001104659-14-009773.txt
5,0001104659-13-010881,/Archives/edgar/data/66740/000110465913010881/0001104659-13-010881-index.htm,2/14/2013,https://www.sec.gov/Archives/edgar/data/66740/000110465913010881/0001104659-13-010881.txt,MMM,MMM_2013-02-14_0001104659-13-010881.txt
6,0001104659-12-010566,/Archives/edgar/data/66740/000110465912010566/0001104659-12-010566-index.htm,2/16/2012,https://www.sec.gov/Archives/edgar/data/66740/000110465912010566/0001104659-12-010566.txt,MMM,MMM_2012-02-16_0001104659-12-010566.txt
7,0001104659-11-007845,/Archives/edgar/data/66740/000110465911007845/0001104659-11-007845-index.htm,2/16/2011,https://www.sec.gov/Archives/edgar/data/66740/000110465911007845/0001104659-11-007845.txt,MMM,MMM_2011-02-16_0001104659-11-007845.txt
8,0001104659-10-007295,/Archives/edgar/data/66740/000110465910007295/0001104659-10-007295-index.htm,2/16/2010,https://www.sec.gov/Archives/edgar/data/66740/000110465910007295/0001104659-10-007295.txt,MMM,MMM_2010-02-16_0001104659-10-007295.txt
9,0001104659-09-009669,/Archives/edgar/data/66740/000110465909009669/0001104659-09-009669-index.htm,2/17/2009,https://www.sec.gov/Archives/edgar/data/66740/000110465909009669/0001104659-09-009669.txt,MMM,MMM_2009-02-17_0001104659-09-009669.txt
10,0001104659-08-011226,/Archives/edgar/data/66740/000110465908011226/0001104659-08-011226-index.htm,2/15/2008,https://www.sec.gov/Archives/edgar/data/66740/000110465908011226/0001104659-08-011226.txt,MMM,MMM_2008-02-15_0001104659-08-011226.txt
11,0001104659-07-013613,/Archives/edgar/data/66740/000110465907013613/0001104659-07-013613-index.htm,2/26/2007,https://www.sec.gov/Archives/edgar/data/66740/000110465907013613/0001104659-07-013613.txt,MMM,MMM_2007-02-26_0001104659-07-013613.txt
12,0001104659-06-010894,/Archives/edgar/data/66740/000110465906010894/0001104659-06-010894-index.htm,2/21/2006,https://www.sec.gov/Archives/edgar/data/66740/000110465906010894/0001104659-06-010894.txt,MMM,MMM_2006-02-21_0001104659-06-010894.txt
13,0001104659-05-008057,/Archives/edgar/data/66740/000110465905008057/0001104659-05-008057-index.htm,2/24/2005,https://www.sec.gov/Archives/edgar/data/66740/000110465905008057/0001104659-05-008057.txt,MMM,MMM_2005-02-24_0001104659-05-008057.txt
14,0000897101-04-000425,/Archives/edgar/data/66740/000089710104000425/0000897101-04-000425-index.htm,3/2/2004,https://www.sec.gov/Archives/edgar/data/66740/000089710104000425/0000897101-04-000425.txt,MMM,MMM_2004-03-02_0000897101-04-000425.txt
15,0000066740-03-000005,/Archives/edgar/data/66740/000006674003000005/0000066740-03-000005-index.htm,3/10/2003,https://www.sec.gov/Archives/edgar/data/66740/000006674003000005/0000066740-03-000005.txt,MMM,MMM_2003-03-10_0000066740-03-000005.txt
16,0000066740-02-000006,/Archives/edgar/data/66740/000006674002000006/0000066740-02-000006-index.htm,3/11/2002,https://www.sec.gov/Archives/edgar/data/66740/000006674002000006/0000066740-02-000006.txt,MMM,MMM_2002-03-11_0000066740-02-000006.txt
17,0000066740-01-000003,/Archives/edgar/data/66740/000006674001000003/0000066740-01-000003-index.htm,2/20/2001,https://www.sec.gov/Archives/edgar/data/66740/000006674001000003/0000066740-01-000003.txt,MMM,MMM_2001-02-20_0000066740-01-000003.txt
